id,year,month,authors,title,title_ja,note,venue,links,award,hidden,rm_id,rm_target,rm_type,rm_skip,journal,volume,number,pages,doi,referee,lang
p0022,2024,,Koji Inoue,Beyond Words: Non-Linguistic Behavior Generation for Human-like Conversational AI,,,International Workshop on Smart Info-Media Systems in Asia (SISA),Link | https://www.ieice-sisa.org/?page_id=6205,,,,,,,,,,,,,
p0023,2024,,Koji Inoue,"Yeah, Well, Haha: Generating Non-linguistic Behaviors For Human-like Conversational Robots",,,SIGdial Meeting on Discourse and Dialogue (SIGDIAL),"Link | https://2024.sigdial.org/keynotes/#koji
YouTube Live Archive | https://www.youtube.com/watch?v=2WYko6ZKWZg&t=1015s",,,,,,,,,,,,,
p0024,2024,,井上昂治,音声対話の魅力：相槌・笑い・ターンテイキング,,,"日本音響学会 音声研究会, 電子情報通信学会 VNV研究会",,,,,,,,,,,,,,
p0025,2023,,Koji Inoue,Closing the Gap: Exploring Human-Level Interaction in Android Robot Dialogue Systems,,,"IEEE RO-MAN Workshop, Multidisciplinary Perspectives on COntext-aware embodied Spoken Interactions (MP-COSIN)",Link | https://www.mpcosin.com/,,,,,,,,,,,,,
p0026,2021,,井上昂治,アンドロイドERICAの音声対話システム～マルチモーダルチューリングテストへの挑戦～,,,音学シンポジウム,,,,,,,,,,,,,,
p0027,2019,3,井上昂治,空気が読める会話ロボット,,,情報処理学会全国大会 IPSJ-ONE 2019,Link (講演動画あり) | https://ipsj-one.org/2019/,,,,,,,,,,,,,
